// FoodCourse, Category, itemName, price, modifiable, description
// please add to this

ENTREES,Regular Roll,California Roll,8.99,true,Placeholder Description
ENTREES,Speciality Roll,Melanie Roll,$6.99,true, Melanie's Favorite Roll!
ENTREES,Speciality Roll,Michelle Roll,$6.99,true, this is the TA's roll
ENTREES,Speciality Roll,Austin's Roll,$6.99,true, this will have eel sauce and spicy mayo
ENTREES,Speciality Roll,Colin's Roll,$6.99,true, this roll is probably fire
ENTREES,Speciality Roll,Lisette's Roll,$6.99,true, yummy roll
ENTREES,Speciality Roll,Ruby's Roll,$6.99,true, fun roll
APPS,,Edamame,$4.99,false,salty edamame with soy sauce
DRINKS,Soda,Dr. Pepper,$2.99,false,
DRINKS,Soda,Pepsi,$2.99,false,
DESSERTS,Soda,Pepsi,$2.99,false,
